home_team,away_team,home_score,home_xg,home_penalty,away_score,away_xg,away_penalty,home_manager,home_captain,away_manager,away_captain,Attendance,Venue,Officials,Round,Date,Score,Referee,Notes,Host,Year,home_goal,away_goal,home_goal_long,away_goal_long,home_own_goal,away_own_goal,home_penalty_goal,away_penalty_goal,home_penalty_miss_long,away_penalty_miss_long,home_penalty_shootout_goal_long,away_penalty_shootout_goal_long,home_penalty_shootout_miss_long,away_penalty_shootout_miss_long,home_red_card,away_red_card,home_yellow_red_card,away_yellow_red_card,home_yellow_card_long,away_yellow_card_long,home_substitute_in_long,away_substitute_in_long
Spain,Costa Rica,3,4.7,,0,0.1,,Jorge Vilda,Ivana Andrés,Amelia Valverde,Katherine Alvarado,22966,"Sky Stadium, Wellington",Casey Reibelt (Referee) · Ramina Tsoy (AR1) · Xie Lijun (AR2) · Kim Yujeong (4th) · Marco Fritz (VAR),Group stage,2023-07-21,3–0,Casey Reibelt,,"Australia, New Zealand",2023,Aitana Bonmatí · 23’|Esther González · 27’,,"['23’|2:0|Aitana Bonmatí|Assist:|Ona Batlle', '27’|3:0|Esther González']",,Valeria del Campo (OG) · 21’,,,,['34’|3:0|Jennifer Hermoso|Penalty saved by Daniela Solera'],,,,,,,,,,,,"['63’|3:0|Mariona Caldentey|for Athenea del Castillo', '63’|3:0|Alba Redondo|for Esther González', '77’|3:0|Alexia Putellas|for Salma Paralluelo', '77’|3:0|Claudia Zornoza|for Teresa Abelleira', '88’|3:0|Oihane Hernández|for Ona Batlle']","['58’|3:0|Cristín Granados|for María Paula Elizondo', '73’|3:0|Sheika Scott|for María Paula Salas', '73’|3:0|Alexandra Pinell|for Gloriana Villalobos']"
New Zealand,Norway,1,1.7,,0,1.2,,Jitka Klimková,Ali Riley,Hege Riise,Maren Mjelde,42137,"Eden Park, Auckland",Yoshimi Yamashita (Referee) · Makoto Bozono (AR1) · Naomi Teshirogi (AR2) · Ivana Martinčić (4th) · Tatiana Guzmán (VAR),Group stage,2023-07-20,1–0,Yoshimi Yamashita,,"Australia, New Zealand",2023,Hannah Wilkinson · 48’,,['48’|1:0|Hannah Wilkinson|Assist:|Jacqui Hand'],,,,,,['90’|1:0|Ria Percival|Penalty Miss'],,,,,,,,,,,['85’|1:0|Emilie Haavi'],"['70’|1:0|Claudia Bunge|for Rebekah Stott', '86’|1:0|Paige Satchell|for Hannah Wilkinson', '90+4’|1:0|Gabi Rennie|for Jacqui Hand']","['56’|1:0|Emilie Haavi|for Julie Blakstad', '74’|1:0|Vilde Bøe Risa|for Frida Maanum', '90+3’|1:0|Anja Sønstevold|for Thea Bjelde']"
Australia,Republic of Ireland,1,1.6,,0,0.6,,Tony Gustavsson,Steph Catley,Vera Pauw,Katie McCabe,75784,"Accor Stadium, Sydney",Edina Alves Batista (Referee) · Neuza Back (AR1) · Leila Naiara Moreira da Cruz (AR2) · María Carvajal (4th) · Daiane Muniz (VAR),Group stage,2023-07-20,1–0,Edina Alves Batista,,"Australia, New Zealand",2023,,,,,,,Steph Catley (P) · 52’,,,,,,,,,,,,,"[""41’|0:0|Denise O'Sullivan""]","['75’|1:0|Emily van Egmond|for Cortnee Vine', '85’|1:0|Clare Polkinghorne|for Mary Fowler']","['63’|1:0|Abbie Larkin|for Sinead Farrelly', '63’|1:0|Lucy Quinn|for Marissa Sheva', '87’|1:0|Izzy Atkinson|for Kyra Carusa']"
United States,Netherlands,2,3.0,,0,0.2,,Jill Ellis,Megan Rapinoe,Sarina Wiegman,Sari van Veenendaal,57900,"Groupama Stadium, Décines-Charpieu",Stéphanie Frappart (Referee) · Manuela Nicolosi (AR1) · Michelle O'Neill (AR2) · Claudia Umpiérrez (4th) · Carlos del Cerro (VAR),Final,2019-07-07,2–0,Stéphanie Frappart,,France,2019,Rose Lavelle · 69’,,['69’|2:0|Rose Lavelle|Assist:|Sam Mewis'],,,,Megan Rapinoe (P) · 61’,,,,,,,,,,,,['41’|0:0|Abby Dahlkemper'],"['10’|0:0|Sherida Spitse', '60’|0:0|Stefanie van der Gragt']","[""46’|0:0|Ali Krieger|for Kelley O'Hara"", '79’|2:0|Christen Press|for Megan Rapinoe', '87’|2:0|Carli Lloyd|for Tobin Heath']","['70’|2:0|Jill Roord|for Lieke Martens', '73’|2:0|Shanice van de Sanden|for Anouk Dekker']"
England,Sweden,1,0.9,,2,0.9,,Phil Neville,Steph Houghton,Peter Gerhardsson,Caroline Seger,20316,"Stade de Nice, Nice",Anastasia Pustovoitova (Referee) · Ekaterina Kurochkina (AR1) · Petruța Iugulescu (AR2) · Kate Jacewicz (4th) · Felix Zwayer (VAR),Third-place match,2019-07-06,1–2,Anastasia Pustovoitova,,France,2019,Fran Kirby · 31’,Kosovare Asllani · 11’|Sofia Jakobsson · 22’,['31’|1:2|Fran Kirby|Assist:|Jill Scott'],"['11’|0:1|Kosovare Asllani', '22’|0:2|Sofia Jakobsson|Assist:|Stina Blackstenius']",,,,,,,,,,,,,,,['90+4’|1:2|Jade Moore'],['85’|1:2|Hedvig Lindahl'],"['50’|1:2|Jodie Taylor|for Beth Mead', '74’|1:2|Karen Carney|for Nikita Parris', '83’|1:2|Rachel Daly|for Abbie McManus']","['27’|0:2|Lina Hurtig|for Fridolina Rolfö', '46’|1:2|Julia Zigiotti Olme|for Kosovare Asllani', '72’|1:2|Amanda Ilestedt|for Nathalie Björn']"
Netherlands,Sweden,1,1.3,,0,0.6,,Sarina Wiegman,Sari van Veenendaal,Peter Gerhardsson,Caroline Seger,48452,"Groupama Stadium, Décines-Charpieu",Marie-Soleil Beaudoin (Referee) · Princess Brown (AR1) · Stephanie-Dale Yee Sing (AR2) · Kateryna Monzul (4th) · Massimiliano Irrati (VAR),Semi-finals,2019-07-03,1–0,Marie-Soleil Beaudoin,Required Extra Time,France,2019,Jackie Groenen · 99’,,['99’|1:0|Jackie Groenen'],,,,,,,,,,,,,,,,"['85’|0:0|Sherida Spitse', '116’|1:0|Daniëlle van de Donk']",['94’|0:0|Julia Zigiotti Olme'],"['46’|0:0|Jill Roord|for Lieke Martens', '71’|0:0|Shanice van de Sanden|for Lineth Beerensteyn']","['79’|0:0|Madelen Janogy|for Lina Hurtig', '79’|0:0|Julia Zigiotti Olme|for Elin Rubensson', '111’|1:0|Mimmi Larsson|for Stina Blackstenius', '111’|1:0|Jonna Andersson|for Magdalena Eriksson']"
England,United States,1,1.7,,2,0.9,,Phil Neville,Steph Houghton,Jill Ellis,Alex Morgan,53512,"Groupama Stadium, Décines-Charpieu",,Semi-finals,2019-07-02,1–2,,,France,2019,Ellen White · 19’,Christen Press · 10’|Alex Morgan · 31’,['19’|1:1|Ellen White|Assist:|Beth Mead'],"[""10’|0:1|Christen Press|Assist:|Kelley O'Hara"", '31’|1:2|Alex Morgan|Assist:|Lindsey Horan']",,,,,['84’|1:2|Steph Houghton|Penalty saved by Alyssa Naeher'],,,,,,,,Millie Bright · 86’,,"['40’|1:2|Millie Bright', '90+5’|1:2|Nikita Parris']","['47’|1:2|Lindsey Horan', '83’|1:2|Becky Sauerbrunn']","['58’|1:2|Fran Kirby|for Beth Mead', '71’|1:2|Jade Moore|for Keira Walsh', '89’|1:2|Georgia Stanway|for Rachel Daly']","['65’|1:2|Sam Mewis|for Rose Lavelle', '80’|1:2|Carli Lloyd|for Tobin Heath', ""87’|1:2|Ali Krieger|for Kelley O'Hara""]"
Italy,Netherlands,0,1.2,,2,1.6,,Milena Bertolini,Sara Gama,Sarina Wiegman,Sari van Veenendaal,22600,"Stade du Hainaut, Valenciennes",Claudia Umpiérrez (Referee) · Luciana Mascaraña (AR1) · Monica Amboya (AR2) · Qin Liang (4th) · Carlos del Cerro (VAR),Quarter-finals,2019-06-29,0–2,Claudia Umpiérrez,,France,2019,,Vivianne Miedema · 70’|Stefanie van der Gragt · 80’,,"['70’|0:1|Vivianne Miedema|Assist:|Sherida Spitse', '80’|0:2|Stefanie van der Gragt|Assist:|Sherida Spitse']",,,,,,,,,,,,,,,"['41’|0:0|Elena Linari', '67’|0:0|Alia Guagni', '73’|0:1|Valentina Cernoia', '79’|0:1|Daniela Sabatino']",,"['46’|0:0|Lisa Boattin|for Elisa Bartoli', '55’|0:0|Daniela Sabatino|for Barbara Bonansea', '75’|0:1|Annamaria Serturini|for Valentina Bergamaschi']","['56’|0:0|Lineth Beerensteyn|for Shanice van de Sanden', '87’|0:2|Anouk Dekker|for Stefanie van der Gragt', '87’|0:2|Jill Roord|for Vivianne Miedema']"
Germany,Sweden,1,1.8,,2,2.3,,Martina Voss-Tecklenburg,Alexandra Popp,Peter Gerhardsson,Caroline Seger,25301,"Roazhon Park, Rennes",Stéphanie Frappart (Referee) · Manuela Nicolosi (AR1) · Michelle O'Neill (AR2) · Melissa Borjas (4th) · José Sánchez (VAR),Quarter-finals,2019-06-29,1–2,Stéphanie Frappart,,France,2019,Lina Magull · 16’,Sofia Jakobsson · 22’|Stina Blackstenius · 48’,['16’|1:0|Lina Magull|Assist:|Sara Däbritz'],"['22’|1:1|Sofia Jakobsson|Assist:|Linda Sembrant', '48’|1:2|Stina Blackstenius']",,,,,,,,,,,,,,,,['56’|1:2|Fridolina Rolfö'],"['43’|1:1|Leonie Maier|for Carolin Simon', '46’|1:1|Dzsenifer Marozsán|for Linda Dallmann', '70’|1:2|Lena Oberdorf|for Lea Schüller']","['66’|1:2|Amanda Ilestedt|for Nilla Fischer', '86’|1:2|Nathalie Björn|for Elin Rubensson', '90+5’|1:2|Lina Hurtig|for Fridolina Rolfö']"
France,United States,1,1.6,,2,1.1,,Corinne Diacre,Amandine Henry,Jill Ellis,Alex Morgan,45595,"Parc des Princes, Paris",Kateryna Monzul (Referee) · Maryna Striletska (AR1) · Oleksandra Ardasheva (AR2) · Kate Jacewicz (4th) · Danny Makkelie (VAR),Quarter-finals,2019-06-28,1–2,Kateryna Monzul,,France,2019,Wendie Renard · 81’,Megan Rapinoe · 5’|Megan Rapinoe · 65’,['81’|1:2|Wendie Renard|Assist:|Gaëtane Thiney'],"['5’|0:1|Megan Rapinoe', '65’|0:2|Megan Rapinoe|Assist:|Tobin Heath']",,,,,,,,,,,,,,,"['4’|0:0|Griedge Mbock Bathy', '90+4’|1:2|Élise Bussaglia']",,"['76’|0:2|Delphine Cascarino|for Valérie Gauvin', '82’|1:2|Viviane Asseyi|for Eugénie Le Sommer']","['63’|0:1|Lindsey Horan|for Rose Lavelle', '82’|1:2|Carli Lloyd|for Sam Mewis', '87’|1:2|Christen Press|for Megan Rapinoe']"
Norway,England,0,0.8,,3,3.4,,Martin Sjögren,Maren Mjelde,Phil Neville,Steph Houghton,21111,"Stade Océane, Le Havre",Lucila Venegas (Referee) · Mayte Chávez (AR1) · Enedina Caudillo (AR2) · Katalin Kulcsár (4th) · Massimiliano Irrati (VAR),Quarter-finals,2019-06-27,0–3,Lucila Venegas,,France,2019,,Jill Scott · 3’|Ellen White · 40’|Lucy Bronze · 57’,,"['3’|0:1|Jill Scott|Assist:|Lucy Bronze', '40’|0:2|Ellen White|Assist:|Nikita Parris', '57’|0:3|Lucy Bronze|Assist:|Beth Mead']",,,,,,['83’|0:3|Nikita Parris|Penalty saved by Ingrid Hjelmseth'],,,,,,,,,['88’|0:3|Maria Thorisdottir'],,"['64’|0:3|Lisa-Marie Karlseng Utland|for Karina Sævik', '74’|0:3|Amalie Eikeland|for Guro Reiten', '85’|0:3|Synne Hansen|for Ingrid Moe Wold']","['54’|0:2|Beth Mead|for Toni Duggan', '74’|0:3|Georgia Stanway|for Fran Kirby', '88’|0:3|Rachel Daly|for Nikita Parris']"
Italy,China PR,2,1.4,,0,0.8,,Milena Bertolini,Sara Gama,Jia Xiuquan,Wu Haiyan,17492,"Stade de la Mosson, Montpellier",Edina Alves Batista (Referee) · Neuza Inês Back (AR1) · Tatiane Sacilotti Dos Santos Camargo (AR2) · Jeanne Niang (4th) · Mauro Vigliano (VAR),Round of 16,2019-06-25,2–0,Edina Alves Batista,,France,2019,Valentina Giacinti · 15’|Aurora Galli · 49’,,"['15’|1:0|Valentina Giacinti', '49’|2:0|Aurora Galli|Assist:|Alia Guagni']",,,,,,,,,,,,,,,,,,"['39’|1:0|Aurora Galli|for Cristiana Girelli', '63’|2:0|Ilaria Mauro|for Valentina Bergamaschi', '71’|2:0|Martina Rosucci|for Barbara Bonansea']","['46’|1:0|Yang Li|for Gu Yasha', '61’|2:0|Song Duan|for Wang Shanshan', '62’|2:0|Yao Wei|for Wang Yan']"
Netherlands,Japan,2,1.8,,1,1.2,,Sarina Wiegman,Sari van Veenendaal,Asako Takemoto,Saki Kumagai,21076,"Roazhon Park, Rennes",Melissa Borjas (Referee) · Shirley Perello (AR1) · Chantal Boudreau (AR2) · Katja Koroleva (4th) · Chris Beath (VAR),Round of 16,2019-06-25,2–1,Melissa Borjas,,France,2019,Lieke Martens · 17’,Yui Hasegawa · 43’,['17’|1:0|Lieke Martens|Assist:|Sherida Spitse'],['43’|1:1|Yui Hasegawa|Assist:|Mana Iwabuchi'],,,Lieke Martens (P) · 90’,,,,,,,,,,,,,['89’|1:1|Saki Kumagai'],"['68’|1:1|Lineth Beerensteyn|for Shanice van de Sanden', '85’|1:1|Kika van Es|for Merel van Dongen', '87’|1:1|Jill Roord|for Daniëlle van de Donk']","['72’|1:1|Yuka Momiki|for Emi Nakajima', '90+1’|2:1|Saori Takarada|for Mana Iwabuchi']"
Spain,United States,1,0.2,,2,2.4,,Jorge Vilda,Irene Paredes,Jill Ellis,Megan Rapinoe,19633,"Stade Auguste-Delaune II, Reims",Katalin Kulcsár (Referee) · Katalin Török (AR1) · Sanja Rođak-Karšić (AR2),Round of 16,2019-06-24,1–2,Katalin Kulcsár,,France,2019,Jennifer Hermoso · 9’,,['9’|1:1|Jennifer Hermoso|Assist:|Lucía García'],,,,,Megan Rapinoe (P) · 7’|Megan Rapinoe (P) · 76’,,,,,,,,,,,['85’|1:2|Irene Paredes'],['37’|1:1|Megan Rapinoe'],"['32’|1:1|Nahikari García|for Vicky Losada', '79’|1:2|Andrea Sánchez Falcón|for Alexia Putellas', '84’|1:2|Mariona Caldentey|for Virginia Torrecilla']","['85’|1:2|Carli Lloyd|for Alex Morgan', '89’|1:2|Lindsey Horan|for Rose Lavelle', '90+7’|1:2|Christen Press|for Megan Rapinoe']"
Sweden,Canada,1,1.3,,0,1.2,,Peter Gerhardsson,Caroline Seger,Kenneth Heiner-Møller,Christine Sinclair,38078,"Parc des Princes, Paris",Kate Jacewicz (Referee) · Kathryn Nesbitt (AR1) · Felisha Mariscal (AR2) · Lisa Rashid (4th),Round of 16,2019-06-24,1–0,Kate Jacewicz,,France,2019,Stina Blackstenius · 55’,,['55’|1:0|Stina Blackstenius|Assist:|Kosovare Asllani'],,,,,,,['69’|1:0|Janine Beckie|Penalty saved by Hedvig Lindahl'],,,,,,,,,"['45’|0:0|Fridolina Rolfö', '68’|1:0|Kosovare Asllani']",['85’|1:0|Kadeisha Buchanan'],"['79’|1:0|Nathalie Björn|for Elin Rubensson', '89’|1:0|Lina Hurtig|for Fridolina Rolfö', '90+4’|1:0|Anna Anvegard|for Stina Blackstenius']","['64’|1:0|Adriana Leon|for Nichelle Prince', '84’|1:0|Jayde Riviere|for Allysha Chapman', '84’|1:0|Quinn|for Janine Beckie']"
England,Cameroon,3,2.1,,0,0.5,,Phil Neville,Steph Houghton,Alain Djeumfa,Gabrielle Onguene,20148,"Stade du Hainaut, Valenciennes",Qin Liang (Referee) · Fang Yan (AR1) · Hong Kum Nyo (AR2) · Ri Hyang Ok (4th) · Bastian Dankert (VAR),Round of 16,2019-06-23,3–0,Qin Liang,,France,2019,Steph Houghton · 14’|Ellen White · 45+4’|Alex Greenwood · 58’,,"['14’|1:0|Steph Houghton|Assist:|Toni Duggan', '45+4’|2:0|Ellen White|Assist:|Lucy Bronze', '58’|3:0|Alex Greenwood|Assist:|Toni Duggan']",,,,,,,,,,,,,,,,,"['4’|0:0|Yvonne Leuko', '90+10’|3:0|Alexandra Takounda']","['64’|3:0|Jodie Taylor|for Ellen White', '78’|3:0|Lucy Staniforth|for Jill Scott', '84’|3:0|Leah Williamson|for Nikita Parris']","['53’|2:0|Alexandra Takounda|for Gaëlle Enganamouit', '64’|3:0|Ysis Sonkeng|for Augustine Ejangue', '68’|3:0|Ninon Abena|for Michaela Abam']"
France,Brazil,2,3.1,,1,1.3,,Corinne Diacre,Amandine Henry,Vadão,Marta,0,"Stade Océane, Le Havre",Marie-Soleil Beaudoin (Referee) · Princess Brown (AR1) · Stephanie-Dale Yee Sing (AR2) · Esther Staubli (4th) · Massimiliano Irrati (VAR),Round of 16,2019-06-23,2–1,Marie-Soleil Beaudoin,Required Extra Time,France,2019,Valérie Gauvin · 52’|Amandine Henry · 106’,Thaisa · 63’,"['52’|1:0|Valérie Gauvin|Assist:|Kadidiatou Diani', '106’|2:1|Amandine Henry|Assist:|Amel Majri']",['63’|1:1|Thaisa'],,,,,,,,,,,,,,,['36’|0:0|Wendie Renard'],"['45+2’|0:0|Tamires', '70’|1:1|Formiga', '83’|1:1|Beatriz', '101’|1:1|Kathellen']","['81’|1:1|Gaëtane Thiney|for Viviane Asseyi', '90+3’|1:1|Delphine Cascarino|for Valérie Gauvin', '109’|2:1|Ève Périsset|for Marion Torrent', '118’|2:1|Sakina Karchaoui|for Amel Majri']","['71’|1:1|Beatriz|for Ludmila', '75’|1:1|Andressinha|for Formiga', '89’|1:1|Poliana|for Letícia Santos', '96’|1:1|Geyse|for Cristiane']"
Germany,Nigeria,3,1.8,,0,0.4,,Martina Voss-Tecklenburg,Alexandra Popp,Thomas Dennerby,Desire Oparanozie,17988,"Stade des Alpes, Grenoble",Yoshimi Yamashita (Referee) · Naomi Teshirogi (AR1) · Makoto Bozono (AR2) · Casey Reibelt (4th) · Carlos del Cerro (VAR),Round of 16,2019-06-22,3–0,Yoshimi Yamashita,,France,2019,Alexandra Popp · 20’|Lea Schüller · 82’,,"['20’|1:0|Alexandra Popp|Assist:|Lina Magull', '82’|3:0|Lea Schüller']",,,,Sara Däbritz (P) · 27’,,,,,,,,,,,,"['32’|2:0|Alexandra Popp', '57’|2:0|Svenja Huth']","['26’|1:0|Evelyn Nwabuoku', '61’|2:0|Desire Oparanozie', '82’|2:0|Rasheedat Ajibade']","['46’|2:0|Klara Bühl|for Melanie Leupolz', '46’|2:0|Carolin Simon|for Verena Faißt', '69’|2:0|Lena Oberdorf|for Lina Magull']","['46’|2:0|Rasheedat Ajibade|for Evelyn Nwabuoku', '75’|2:0|Chinaza Uchendu|for Chinwendu Ihezuo', '84’|3:0|Alice Ogebe|for Uchenna Kanu']"
Norway,Australia,1,2.2,4,1,1.5,1,Martin Sjögren,Maren Mjelde,Ante Milicic,Sam Kerr,0,"Stade de Nice, Nice",Riem Hussein (Referee) · Kylie Cockburn (AR1) · Mihaela Gomoescu-Țepușă (AR2) · Jana Adamkova (4th) · Felix Zwayer (VAR),Round of 16,2019-06-22,(4) 1–1 (1),Riem Hussein,Norway won on penalty kicks following extra time,France,2019,Isabell Herlovsen · 31’,Elise Kellond-Knight · 83’,['31’|1:0|Isabell Herlovsen|Assist:|Karina Sævik'],['83’|1:1|Elise Kellond-Knight'],,,,,,,"['1|1:0|Caroline Graham Hansen', '3|2:0|Guro Reiten', '5|3:0|Maren Mjelde', '7|4:1|Ingrid Syrstad Engen']",['6|3:1|Steph Catley'],,"['2|1:0|Sam Kerr', '4|2:0|Emily Gielnik']",,Alanna Kennedy · 104’,,,"['53’|1:0|Kristine Minde', '96’|1:1|Lisa-Marie Karlseng Utland', '105+2’|1:1|Vilde Bøe Risa']",,"['72’|1:0|Frida Maanum|for Karina Sævik', '77’|1:0|Lisa-Marie Karlseng Utland|for Isabell Herlovsen', '102’|1:1|Synne Hansen|for Ingrid Moe Wold']","['74’|1:0|Emily Gielnik|for Hayley Raso', '94’|1:1|Clare Polkinghorne|for Elise Kellond-Knight', '116’|1:1|Karly Roestbakken|for Emily van Egmond', '120+2’|1:1|Amy Harrison|for Ellie Carpenter']"
Netherlands,Canada,2,1.8,,1,1.3,,Sarina Wiegman,Sari van Veenendaal,Kenneth Heiner-Møller,Christine Sinclair,19277,"Stade Auguste-Delaune II, Reims",Stéphanie Frappart (Referee) · Manuela Nicolosi (AR1) · Michelle O'Neill (AR2) · Salma Mukansanga (4th) · Felix Zwayer (VAR),Group stage,2019-06-20,2–1,Stéphanie Frappart,,France,2019,Anouk Dekker · 54’|Lineth Beerensteyn · 75’,Christine Sinclair · 60’,"['54’|1:0|Anouk Dekker|Assist:|Sherida Spitse', '75’|2:1|Lineth Beerensteyn|Assist:|Desiree van Lunteren']",['60’|1:1|Christine Sinclair|Assist:|Ashley Lawrence'],,,,,,,,,,,,,,,"['23’|0:0|Anouk Dekker', '90’|2:1|Jill Roord']","['38’|0:0|Kadeisha Buchanan', '80’|2:1|Quinn']","['70’|1:1|Jill Roord|for Sherida Spitse', '70’|1:1|Lineth Beerensteyn|for Lieke Martens', '87’|2:1|Renate Jansen|for Daniëlle van de Donk']","['69’|1:1|Adriana Leon|for Christine Sinclair', '69’|1:1|Jayde Riviere|for Allysha Chapman', '79’|2:1|Quinn|for Desiree Scott']"
Cameroon,New Zealand,2,3.1,,1,0.5,,Alain Djeumfa,Gabrielle Onguene,Tom Sermanni,Ali Riley,8009,"Stade de la Mosson, Montpellier",Kateryna Monzul (Referee) · Maryna Striletska (AR1) · Oleksandra Ardasheva (AR2) · Sandra Braz (4th) · Massimiliano Irrati (VAR),Group stage,2019-06-20,2–1,Kateryna Monzul,,France,2019,Ajara Nchout · 57’|Ajara Nchout · 90+5’,,"['57’|1:0|Ajara Nchout|Assist:|Yvonne Leuko', '90+5’|2:1|Ajara Nchout|Assist:|Gabrielle Onguene']",,,Aurelle Awona (OG) · 80’,,,,,,,,,,,,,['69’|1:0|Alexandra Takounda'],['68’|1:0|Anna Green'],"['54’|0:0|Alexandra Takounda|for Gaëlle Enganamouit', '84’|1:1|Ninon Abena|for Jeannette Yango']","['68’|1:0|Hannah Wilkinson|for Katie Duncan', '68’|1:0|Betsy Hassett|for Anna Green', '88’|1:1|Annalie Longo|for Olivia Chance']"
Sweden,United States,0,0.4,,2,2.1,,Peter Gerhardsson,Caroline Seger,Jill Ellis,Alex Morgan,22418,"Stade Océane, Le Havre",Anastasia Pustovoitova (Referee) · Ekaterina Kurochkina (AR1) · Petruța Iugulescu (AR2) · Esther Staubli (4th) · Danny Makkelie (VAR),Group stage,2019-06-20,0–2,Anastasia Pustovoitova,,France,2019,,Lindsey Horan · 3’,,['3’|0:1|Lindsey Horan|Assist:|Sam Mewis'],,Jonna Andersson (OG) · 50’,,,,,,,,,,,,,['86’|0:2|Sofia Jakobsson'],"[""59’|0:2|Kelley O'Hara""]","['57’|0:2|Fridolina Rolfö|for Olivia Schough', '64’|0:2|Hanna Glas|for Caroline Seger', '79’|0:2|Lina Hurtig|for Kosovare Asllani']","['46’|0:1|Carli Lloyd|for Alex Morgan', '63’|0:2|Christen Press|for Rose Lavelle', '83’|0:2|Mallory Swanson|for Megan Rapinoe']"
Thailand,Chile,0,0.3,,2,2.7,,Noengruthai Sratongwian,Kanjana Sungngoen,Juan Letelier,Christiane Endler,13567,"Roazhon Park, Rennes",Anna-Marie Keighley (Referee) · Sarah Jones (AR1) · Maria Salamasina (AR2) · Gladys Lengwe (4th) · Paolo Valeri (VAR),Group stage,2019-06-20,0–2,Anna-Marie Keighley,,France,2019,,María José Urrutia · 80’,,['80’|0:2|María José Urrutia|Assist:|Yessenia López'],,Waraporn Boonsing (OG) · 48’,,,,['86’|0:2|Francisca Lara|Penalty Miss'],,,,,,,,,"['59’|0:1|Pitsamai Sornsai', '85’|0:2|Waraporn Boonsing']",,"['58’|0:1|Olapin Waenngoen|for Rattikan Thongsombut', '73’|0:1|Sudarat Chuchuen|for Silawan Intamee', '90+1’|0:2|Kanjanaporn Saengkoon|for Warunee Phetwiset']","['46’|0:0|Javiera Grez|for Karen Araya', '87’|0:2|María José Rojas|for Javiera Grez']"
Japan,England,0,1.4,,2,1.7,,Asako Takemoto,Saki Kumagai,Phil Neville,Steph Houghton,14319,"Stade de Nice, Nice",Claudia Umpiérrez (Referee) · Luciana Mascaraña (AR1) · Monica Amboya (AR2) · Maria Carvajal (4th) · Carlos del Cerro (VAR),Group stage,2019-06-19,0–2,Claudia Umpiérrez,,France,2019,,Ellen White · 14’|Ellen White · 84’,,"['14’|0:1|Ellen White|Assist:|Georgia Stanway', '84’|0:2|Ellen White|Assist:|Karen Carney']",,,,,,,,,,,,,,,,,"['61’|0:1|Yuika Sugasawa|for Kumi Yokoyama', '62’|0:1|Narumi Miura|for Rikako Kobayashi', '85’|0:2|Saori Takarada|for Jun Endō']","['72’|0:1|Jade Moore|for Keira Walsh', '74’|0:1|Karen Carney|for Georgia Stanway', '83’|0:1|Nikita Parris|for Toni Duggan']"
Scotland,Argentina,3,2.2,,3,1.6,,Shelley Kerr,Rachel Corsie,Carlos Borrello,Estefanía Banini,28205,"Parc des Princes, Paris",Ri Hyang Ok (Referee) · Hong Kum Nyo (AR1) · Kim Kyoungmin (AR2) · Lidya Tafesse (4th) · Bastian Dankert (VAR),Group stage,2019-06-19,3–3,Ri Hyang Ok,,France,2019,Kim Little · 19’|Jennifer Beattie · 49’|Erin Cuthbert · 69’,Milagros Menéndez · 74’,"['19’|1:0|Kim Little|Assist:|Erin Cuthbert', '49’|2:0|Jennifer Beattie|Assist:|Caroline Weir', '69’|3:0|Erin Cuthbert']",['74’|3:1|Milagros Menéndez|Assist:|Dalila Ippólito'],,Lee Alexander (OG) · 79’,,Florencia Bonsegundo (P) · 90+4’,,,,,,,,,,,"['85’|3:2|Erin Cuthbert', '85’|3:2|Caroline Weir', '90+3’|3:2|Lee Alexander']",['75’|3:1|Mariana Larroquette'],"['86’|3:2|Sophie Howard|for Kirsty Smith', '86’|3:2|Fiona Brown|for Lisa Evans']","['60’|2:0|Milagros Menéndez|for Estefanía Banini', '70’|3:0|Dalila Ippólito|for Florencia Soledad Jaimes', '82’|3:2|Miriam Mayorga|for Vanesa Santana']"
Italy,Brazil,0,1.1,,1,1.5,,Milena Bertolini,Sara Gama,Vadão,Marta,21669,"Stade du Hainaut, Valenciennes",Lucila Venegas (Referee) · Mayte Chávez (AR1) · Enedina Caudillo (AR2) · Katja Koroleva (4th) · Carlos del Cerro (VAR),Group stage,2019-06-18,0–1,Lucila Venegas,,France,2019,,,,,,,,Marta (P) · 74’,,,,,,,,,,,['15’|0:0|Elisa Bartoli'],"['12’|0:0|Letícia Santos', '90+4’|0:1|Kathellen']","['63’|0:0|Valentina Bergamaschi|for Valentina Giacinti', '71’|0:0|Lisa Boattin|for Elisa Bartoli', '78’|0:1|Ilaria Mauro|for Cristiana Girelli']","['65’|0:0|Beatriz|for Cristiane', '76’|0:1|Poliana|for Letícia Santos', '84’|0:1|Luana|for Marta']"
